Campus,Roll_Num,BIT_Code
Amrit Campus,79020109,
Amrit Campus,79020110,
Amrit Campus,79020111,
Amrit Campus,79020112,
Amrit Campus,79020113,
Amrit Campus,79020114,
Amrit Campus,79020115,
Amrit Campus,79020116,
Amrit Campus,79020117,
Amrit Campus,79020118,
Amrit Campus,79020120,
Amrit Campus,79020122,
Amrit Campus,79020124,
Amrit Campus,79020125,
Amrit Campus,79020126,
Amrit Campus,79020129,
Amrit Campus,79020130,
Amrit Campus,79020132,
Amrit Campus,79020133,
Amrit Campus,79020134,
Amrit Campus,79020135,
Amrit Campus,79020136,
Amrit Campus,79020139,
Amrit Campus,79020141,
Amrit Campus,79020142,
Amrit Campus,79020143,
Amrit Campus,,BIT 216/077
Bhairahawa Multiple Campus,79020320,
Bhairahawa Multiple Campus,79020322,
Bhairahawa Multiple Campus,79020323,
Bhairahawa Multiple Campus,79020324,
Bhairahawa Multiple Campus,79020325,
Bhairahawa Multiple Campus,79020326,
Bhairahawa Multiple Campus,79020327,
Bhairahawa Multiple Campus,79020328,
Bhairahawa Multiple Campus,79020330,
Bhairahawa Multiple Campus,79020331,
Bhairahawa Multiple Campus,79020332,
Bhairahawa Multiple Campus,79020333,
Bhairahawa Multiple Campus,79020334,
Bhairahawa Multiple Campus,79020335,
Bhairahawa Multiple Campus,79020336,
Bhaktapur Multiple Campus,79020144,
Bhaktapur Multiple Campus,79020145,
Bhaktapur Multiple Campus,79020146,
Bhaktapur Multiple Campus,79020147,
Bhaktapur Multiple Campus,79020148,
Bhaktapur Multiple Campus,79020150,
Bhaktapur Multiple Campus,79020151,
Bhaktapur Multiple Campus,79020152,
Bhaktapur Multiple Campus,79020153,
Bhaktapur Multiple Campus,79020154,
Bhaktapur Multiple Campus,79020155,
Bhaktapur Multiple Campus,79020156,
Bhaktapur Multiple Campus,79020158,
Bhaktapur Multiple Campus,79020159,
Bhaktapur Multiple Campus,79020160,
Bhaktapur Multiple Campus,79020162,
Bhaktapur Multiple Campus,79020164,
Bhaktapur Multiple Campus,79020165,
Bhaktapur Multiple Campus,79020166,
Bhaktapur Multiple Campus,79020167,
Bhaktapur Multiple Campus,79020168,
Bhaktapur Multiple Campus,79020169,
Bhaktapur Multiple Campus,79020170,
Bhaktapur Multiple Campus,79020171,
Bhaktapur Multiple Campus,79020172,
Bhaktapur Multiple Campus,79020173,BIT 498/078
Bhaktapur Multiple Campus,79020175,BIT 504/078
Bhaktapur Multiple Campus,79020176,BIT 794/078
Bhaktapur Multiple Campus,79020177,
Bhaktapur Multiple Campus,79020178,
Bhaktapur Multiple Campus,79020179,
Birendra Multiple Campus,79020295,
Birendra Multiple Campus,79020366,
Birendra Multiple Campus,79020368,
Birendra Multiple Campus,79020369,
Birendra Multiple Campus,79020370,
Birendra Multiple Campus,79020371,
Birendra Multiple Campus,79020372,
Birendra Multiple Campus,79020373,
Birendra Multiple Campus,79020375,
Birendra Multiple Campus,79020377,
Birendra Multiple Campus,79020378,
Birendra Multiple Campus,79020379,
Birendra Multiple Campus,79020380,
Birendra Multiple Campus,79020381,
Birendra Multiple Campus,79020382,
Birendra Multiple Campus,79020384,
Birendra Multiple Campus,79020385,
Birendra Multiple Campus,79020386,
Birendra Multiple Campus,79020387,
Birendra Multiple Campus,79020388,
Birendra Multiple Campus,79020392,
Birendra Multiple Campus,79020393,
Birendra Multiple Campus,79020394,
Birendra Multiple Campus,79020395,
Birendra Multiple Campus,79020396,
Birendra Multiple Campus,79020398,
Birendra Multiple Campus,,BIT 287/077
Birendra Multiple Campus,,BIT 689/078
Birendra Multiple Campus,,BIT 691/078
Birendra Multiple Campus,,BIT 696/078
Birendra Multiple Campus,,BIT 697/078
Birendra Multiple Campus,,BIT 703/078
Birendra Multiple Campus,,BIT 704/078
Birendra Multiple Campus,,BIT 709/078
Birendra Multiple Campus,,BIT 710/078
Birendra Multiple Campus,,BIT 717/078
Birendra Multiple Campus,,BIT 718/078
Birendra Multiple Campus,,BIT 749/078
Central Campus of Technology,79020235,
Central Campus of Technology,79020236,
Central Campus of Technology,79020237,
Central Campus of Technology,79020245,
Central Campus of Technology,79020247,
Central Campus of Technology,79020248,
Central Campus of Technology,79020250,
Central Campus of Technology,79020252,
Central Campus of Technology,79020253,
Central Campus of Technology,79020255,
Central Campus of Technology,79020259,
Central Campus of Technology,79020262,
Central Campus of Technology,79020264,
Central Campus of Technology,79020265,
Central Campus of Technology,79020266,
Central Campus of Technology,,BIT 615/078
Central Campus of Technology,,BIT 621/078
Degree Campus,79020216,
Degree Campus,79020220,
Degree Campus,79020221,
Degree Campus,79020223,
Degree Campus,79020225,
Degree Campus,79020226,
Mahendra Morang Aadarsha Campus,79020183,
Mahendra Morang Aadarsha Campus,79020184,
Mahendra Morang Aadarsha Campus,79020185,
Mahendra Morang Aadarsha Campus,79020186,
Mahendra Morang Aadarsha Campus,79020187,
Mahendra Morang Aadarsha Campus,79020188,
Mahendra Morang Aadarsha Campus,79020190,
Mahendra Morang Aadarsha Campus,79020192,
Mahendra Morang Aadarsha Campus,79020193,
Mahendra Morang Aadarsha Campus,79020195,
Mahendra Morang Aadarsha Campus,79020196,
Mahendra Morang Aadarsha Campus,79020198,
Mahendra Morang Aadarsha Campus,79020202,
Mahendra Morang Aadarsha Campus,79020209,
Mahendra Morang Aadarsha Campus,79020210,
Mahendra Morang Aadarsha Campus,79020212,
Mahendra Morang Aadarsha Campus,79020213,
Mahendra Morang Aadarsha Campus,79020214,
Mahendra Morang Aadarsha Campus,,BIT 73/076
Mahendra Morang Aadarsha Campus,,BIT 640/078
Mahendra Morang Aadarsha Campus,,BIT 647/078